Date,Open,High,Low,Close,Adj Close,Volume
2015-09-01,52.759998,53.410000,51.709999,52.040001,40.413013,1701000
2015-10-01,52.070000,53.889999,52.040001,52.630001,40.871201,2649800
2015-11-01,52.779999,52.980000,51.110001,51.810001,40.234402,2935700
2015-12-01,51.959999,52.299999,50.250000,50.360001,39.108356,2147300
2016-01-01,50.340000,50.419998,49.349998,50.320000,39.520012,1524700
2016-02-01,50.270000,51.700001,50.049999,50.509998,39.669235,933900
2016-03-01,50.090000,54.650002,50.090000,54.279999,42.630081,1976700
2016-04-01,54.340000,55.029999,53.660000,54.900002,43.117023,1586000
2016-05-01,54.990002,55.150002,53.009998,53.209999,41.789734,2158600
2016-06-01,53.230000,55.150002,53.040001,54.910000,43.124874,965000
2016-07-01,55.060001,55.779999,54.060001,55.380001,43.493999,944600
2016-08-01,55.340000,57.520000,55.230000,56.509998,44.381470,1843600
2016-09-01,56.330002,57.709999,54.730000,56.939999,44.719177,973400
2016-10-01,56.900002,57.110001,54.900002,55.240002,43.384037,1951400
2016-11-01,55.220001,55.549999,51.650002,52.220001,41.012222,2446300
2016-12-01,52.209999,53.360001,51.410000,52.020000,40.855137,2388100
2017-01-01,52.020000,53.660000,51.860001,53.279999,42.378910,1565800
2017-02-01,53.279999,54.970001,53.270000,54.419998,43.285671,1008000
2017-03-01,54.009998,55.290001,53.060001,54.810001,43.595879,707300
2017-04-01,54.599998,55.669998,54.389999,55.330002,44.009483,1631500
2017-05-01,55.709999,56.320000,54.400002,55.660000,44.271976,673900
2017-06-01,55.580002,56.610001,55.299999,55.560001,44.192440,1465500
2017-07-01,55.610001,57.099998,54.709999,56.950001,45.298038,484000
2017-08-01,57.070000,58.330002,56.630001,57.779999,45.958214,378500
2017-09-01,57.830002,59.240002,57.000000,57.310001,45.584381,438900
2017-10-01,57.119999,57.580002,55.700001,56.240002,44.799988,1207600
2017-11-01,56.070000,57.689999,55.900002,56.869999,45.329502,757900
2017-12-01,57.080002,57.639999,56.430000,57.520000,45.991524,792900
2018-01-01,57.790001,60.270000,57.520000,60.000000,48.656776,2292400
2018-02-01,60.209999,60.209999,57.790001,58.630001,47.545788,3291300
2018-03-01,58.369999,59.610001,58.080002,59.549999,48.429081,1366700
2018-04-01,59.549999,59.560001,57.029999,57.220001,46.683090,2076700
2018-05-01,57.020000,57.020000,54.689999,55.209999,45.043236,2566000
2018-06-01,55.040001,55.230000,53.880001,54.240002,44.388409,1917000
2018-07-01,53.970001,54.950001,53.779999,54.650002,44.900406,713200
2018-08-01,54.349998,54.349998,51.930000,52.410000,43.248989,2942300
2018-09-01,51.860001,53.209999,51.619999,52.619999,43.617832,1027100
2018-10-01,52.500000,53.340000,51.770000,52.230000,43.429623,834500
2018-11-01,52.410000,53.029999,51.520000,51.880001,43.187840,551700
2018-12-01,51.820000,52.459999,51.570000,52.029999,43.507626,715900
2019-01-01,51.939999,54.450001,51.840000,54.340000,45.806721,993100
2019-02-01,54.310001,54.389999,53.119999,53.759998,45.317818,600300
2019-03-01,53.619999,55.230000,53.209999,54.080002,45.602669,639400
2019-04-01,54.270000,54.770000,53.119999,53.730000,45.342957,498800
2019-05-01,53.650002,54.000000,52.810001,53.869999,45.461094,372300
2019-06-01,53.709999,55.779999,53.709999,55.580002,47.063591,1068100
2019-07-01,55.270000,55.830002,54.590000,54.939999,46.727234,1238800
2019-08-01,55.070000,55.500000,54.320000,54.680000,46.744953,943400
2019-09-01,54.619999,55.389999,54.410000,54.709999,46.881535,1412200
2019-10-01,54.290001,55.389999,54.040001,55.349998,47.486404,510900
2019-11-01,55.250000,55.570000,53.619999,54.119999,46.462578,335700
2019-12-01,53.959999,55.250000,53.700001,55.110001,47.421303,474800
2020-01-01,55.340000,55.810001,54.599998,55.340000,47.836670,1163300
2020-02-01,54.939999,55.090000,54.000000,54.520000,47.127853,692800
2020-03-01,53.990002,55.500000,43.500000,48.790001,42.224369,1729000
2020-04-01,48.000000,50.000000,47.290001,49.930000,43.311039,946300
2020-05-01,49.450001,51.570000,48.910000,51.570000,44.733643,570200
2020-06-01,51.720001,53.509998,51.580002,52.500000,45.618011,626000
2020-07-01,52.400002,55.820000,52.400002,55.580002,48.361794,579800
2020-08-01,55.299999,55.630001,54.459999,55.490002,48.339645,731200
2020-09-01,55.639999,55.700001,53.540001,54.240002,47.283897,926000
2020-10-01,54.220001,55.389999,53.709999,54.139999,47.278507,379900
2020-11-01,54.259998,56.830002,53.830002,56.660000,49.535767,1055000
2020-12-01,56.650002,58.880001,56.509998,58.709999,51.366894,1389700
2021-01-01,58.689999,58.869999,57.270000,57.950001,50.956352,1908600
2021-02-01,57.950001,58.320000,56.509998,56.770000,49.918755,951000
2021-03-01,56.790001,57.520000,54.950001,55.529999,48.876484,1114600
2021-04-01,55.689999,56.880001,55.470001,56.080002,49.518459,750100
2021-05-01,55.910000,57.740002,55.880001,57.580002,50.999084,538300
2021-06-01,57.580002,58.320000,56.180000,56.430000,50.139664,1045200
2021-07-01,56.000000,57.660000,55.740002,57.080002,50.941044,567500
2021-08-01,57.240002,57.669998,56.049999,57.150002,51.276112,565000
2021-09-01,56.990002,57.400002,54.230000,54.419998,48.975998,934200
2021-10-01,54.290001,56.380001,54.000000,55.259998,49.909245,2526500
2021-11-01,54.880001,56.290001,53.900002,54.490002,49.372578,722500
2021-12-01,54.500000,54.599998,52.720001,53.810001,48.961994,1608100
2022-01-01,53.490002,54.700001,52.810001,53.450001,49.152477,822600
2022-02-01,53.340000,53.810001,52.060001,53.590000,49.281227,978900
2022-03-01,53.220001,54.980000,52.570000,53.970001,49.877026,2490400
2022-04-01,53.860001,53.860001,49.459999,49.740002,46.520798,3827500
2022-05-01,49.240002,49.759998,47.630001,48.959999,46.153862,1284600
2022-06-01,48.389999,48.520000,44.060001,45.240002,42.958866,2093300
2022-07-01,44.590000,45.990002,42.389999,45.709999,43.932789,968000
2022-08-01,45.360001,46.200001,43.209999,43.450001,42.278389,1111700
2022-09-01,42.750000,43.220001,37.009998,40.020000,39.234425,1737100
2022-10-01,40.209999,41.139999,36.970001,39.880001,39.408272,2017100
2022-11-01,40.330002,42.700001,39.279999,42.119999,41.881306,1968600
